period,Series_reference,Data_value,Units,STATUS,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,Magnitude
1999.03,SNEA.S1NB0200MS100C0,37385,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2000.03,SNEA.S1NB0200MS100C0,41523,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2001.03,SNEA.S1NB0200MS100C0,44617,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2002.03,SNEA.S1NB0200MS100C0,48454,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2003.03,SNEA.S1NB0200MS100C0,49358,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2004.03,SNEA.S1NB0200MS100C0,52208,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2005.03,SNEA.S1NB0200MS100C0,54955,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2006.03,SNEA.S1NB0200MS100C0,56384,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2007.03,SNEA.S1NB0200MS100C0,59095,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2008.03,SNEA.S1NB0200MS100C0,65579,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2009.03,SNEA.S1NB0200MS100C0,63263,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2010.03,SNEA.S1NB0200MS100C0,65382,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2011.03,SNEA.S1NB0200MS100C0,69457,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2012.03,SNEA.S1NB0200MS100C0,71513,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2013.03,SNEA.S1NB0200MS100C0,71450,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2014.03,SNEA.S1NB0200MS100C0,79626,Dollars,REVISED,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2015.03,SNEA.S1NB0200MS100C0,80888,Dollars,REVISED,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2016.03,SNEA.S1NB0200MS100C0,83908,Dollars,REVISED,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2017.03,SNEA.S1NB0200MS100C0,89952,Dollars,REVISED,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2018.03,SNEA.S1NB0200MS100C0,97551,Dollars,REVISED,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2019.03,SNEA.S1NB0200MS100C0,100785,Dollars,REVISED,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2020.03,SNEA.S1NB0200MS100C0,108668,Dollars,REVISED,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2021.03,SNEA.S1NB0200MS100C0,115688,Dollars,REVISED,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2022.03,SNEA.S1NB0200MS100C0,122196,Dollars,REVISED,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2023.03,SNEA.S1NB0200MS100C0,127387,Dollars,REVISED,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
2024.03,SNEA.S1NB0200MS100C0,128293,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,6
1999.03,SNEA.S1NB0200MS111C3,1940,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,6
2000.03,SNEA.S1NB0200MS111C3,1689,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,6
2001.03,SNEA.S1NB0200MS111C3,1509,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,6
2002.03,SNEA.S1NB0200MS111C3,1522,Dollars,FINAL,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,6
